player,shot,runs,balls,known_control_balls,controlled_balls,uncontrolled_balls,boundaries,dots,dismissals,strike_rate,control_pct,false_shot_pct,boundary_pct,dot_pct
Bhuvneshwar Kumar,On Drive,6,4,4,4,0,0,0,0,150.0,100.0,0.0,0.0,0.0
Bhuvneshwar Kumar,Dab,5,5,5,5,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Bhuvneshwar Kumar,Flick,4,3,3,3,0,0,1,0,133.33,100.0,0.0,0.0,33.33
Bhuvneshwar Kumar,Cut Shot,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Bhuvneshwar Kumar,Slog Shot,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Bhuvneshwar Kumar,Square Drive,4,1,1,1,0,1,0,0,400.0,100.0,0.0,100.0,0.0
Bhuvneshwar Kumar,Defended,0,4,4,4,0,0,4,0,0.0,100.0,0.0,0.0,100.0
Bhuvneshwar Kumar,Push,0,2,2,1,1,0,2,0,0.0,50.0,50.0,0.0,100.0
Bhuvneshwar Kumar,Cover Drive,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Bhuvneshwar Kumar,Left Alone,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Bhuvneshwar Kumar,Steered,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Brijesh Sharma,Pull,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Brijesh Sharma,Dab,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Brijesh Sharma,Slog Shot,0,1,1,0,1,0,1,0,0.0,0.0,100.0,0.0,100.0
Cameron Green,On Drive,34,25,25,24,1,2,2,0,136.0,96.0,4.0,8.0,8.0
Cameron Green,Slog Shot,34,10,10,5,5,6,2,1,340.0,50.0,50.0,60.0,20.0
Cameron Green,Pull,33,11,11,6,5,6,3,0,300.0,54.55,45.45,54.55,27.27
Cameron Green,Flick,32,22,22,17,5,2,4,0,145.45,77.27,22.73,9.09,18.18
Cameron Green,Slog Sweep,11,5,5,3,2,2,2,0,220.0,60.0,40.0,40.0,40.0
Cameron Green,Cover Drive,10,15,15,7,8,0,6,1,66.67,46.67,53.33,0.0,40.0
