season,season_year,match_id,start_date,venue,innings,batting_team,opposition,player,balls_faced,actual_runs,expected_runs,runs_above_expected,strike_rate
2026,2026,1527681,2026-04-04,"Arun Jaitley Stadium, Delhi",1,Mumbai Indians,Delhi Capitals,Tilak Varma,2,0,2.25,-2.25,0.0
2026,2026,1527681,2026-04-04,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Mumbai Indians,David Miller,18,21,28.78,-7.78,116.67
2026,2026,1527681,2026-04-04,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Mumbai Indians,KL Rahul,3,1,3.44,-2.44,33.33
2026,2026,1527681,2026-04-04,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Mumbai Indians,Nitish Rana,3,0,3.14,-3.14,0.0
2026,2026,1527681,2026-04-04,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Mumbai Indians,Pathum Nissanka,30,44,39.93,4.07,146.67
2026,2026,1527681,2026-04-04,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Mumbai Indians,Sameer Rizvi,51,90,71.22,18.78,176.47
2026,2026,1527681,2026-04-04,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Mumbai Indians,Tristan Stubbs,4,3,5.58,-2.58,75.0
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",1,Rajasthan Royals,Gujarat Titans,Dhruv Jurel,42,75,72.68,2.32,178.57
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",1,Rajasthan Royals,Gujarat Titans,Donovan Ferreira,3,1,3.95,-2.95,33.33
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",1,Rajasthan Royals,Gujarat Titans,Jofra Archer,2,1,2.99,-1.99,50.0
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",1,Rajasthan Royals,Gujarat Titans,Ravindra Jadeja,7,7,12.16,-5.16,100.0
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",1,Rajasthan Royals,Gujarat Titans,Riyan Parag,4,8,5.05,2.95,200.0
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",1,Rajasthan Royals,Gujarat Titans,Shimron Hetmyer,8,18,12.28,5.72,225.0
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",1,Rajasthan Royals,Gujarat Titans,Vaibhav Sooryavanshi,18,31,28.96,2.04,172.22
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",1,Rajasthan Royals,Gujarat Titans,Yashasvi Jaiswal,36,55,53.74,1.26,152.78
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",2,Gujarat Titans,Rajasthan Royals,Ashok Sharma,1,0,1.31,-1.31,0.0
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",2,Gujarat Titans,Rajasthan Royals,Glenn Phillips,4,3,4.85,-1.85,75.0
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",2,Gujarat Titans,Rajasthan Royals,Jos Buttler,14,26,18.73,7.27,185.71
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",2,Gujarat Titans,Rajasthan Royals,Kagiso Rabada,16,23,25.31,-2.31,143.75
2026,2026,1527682,2026-04-04,"Narendra Modi Stadium, Ahmedabad",2,Gujarat Titans,Rajasthan Royals,Kumar Kushagra,14,18,18.91,-0.91,128.57
