season,season_year,match_id,start_date,venue,innings,batting_team,opposition,player,own_15_ball_phase,phase_label,runs,balls,expected_runs,runs_above_expected,innings_runs,strike_rate,expected_sr,runs_above_expected_per_100,player_innings_ball_range
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",1,Gujarat Titans,Delhi Capitals,Washington Sundar,3,31-45,4,2,4.18,-0.18,4,200.0,208.85,-8.85,31-45
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Gujarat Titans,Axar Patel,1,1-15,2,3,3.68,-1.68,2,66.67,122.76,-56.09,1-15
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Gujarat Titans,David Miller,1,1-15,28,15,21.26,6.74,28,186.67,141.71,44.96,1-15
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Gujarat Titans,David Miller,2,16-30,13,5,9.48,3.52,13,260.0,189.58,70.42,16-30
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Gujarat Titans,KL Rahul,1,1-15,19,15,21.11,-2.11,19,126.67,140.75,-14.09,1-15
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Gujarat Titans,KL Rahul,2,16-30,40,15,22.52,17.48,40,266.67,150.14,116.52,16-30
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Gujarat Titans,KL Rahul,3,31-45,23,15,22.47,0.53,23,153.33,149.8,3.53,31-45
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Gujarat Titans,KL Rahul,4,46-60,10,7,11.45,-1.45,10,142.86,163.63,-20.77,46-60
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Gujarat Titans,Kuldeep Yadav,1,1-15,1,1,1.36,-0.36,1,100.0,135.77,-35.77,1-15
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Gujarat Titans,Nitish Rana,1,1-15,5,6,7.18,-2.18,5,83.33,119.66,-36.33,1-15
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Gujarat Titans,Pathum Nissanka,1,1-15,31,15,20.79,10.21,31,206.67,138.57,68.1,1-15
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Gujarat Titans,Pathum Nissanka,2,16-30,10,9,12.57,-2.57,10,111.11,139.66,-28.55,16-30
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Gujarat Titans,Sameer Rizvi,1,1-15,0,1,1.11,-1.11,0,0.0,111.18,-111.18,1-15
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Gujarat Titans,Tristan Stubbs,1,1-15,7,6,8.08,-1.08,7,116.67,134.7,-18.03,1-15
2026,2026,1527687,2026-04-08,"Arun Jaitley Stadium, Delhi",2,Delhi Capitals,Gujarat Titans,Vipraj Nigam,1,1-15,12,7,10.21,1.79,12,171.43,145.93,25.5,1-15
2026,2026,1527688,2026-04-09,"Eden Gardens, Kolkata",1,Kolkata Knight Riders,Lucknow Super Giants,Ajinkya Rahane,1,1-15,25,15,19.52,5.48,25,166.67,130.14,36.53,1-15
2026,2026,1527688,2026-04-09,"Eden Gardens, Kolkata",1,Kolkata Knight Riders,Lucknow Super Giants,Ajinkya Rahane,2,16-30,16,9,12.48,3.52,16,177.78,138.69,39.08,16-30
2026,2026,1527688,2026-04-09,"Eden Gardens, Kolkata",1,Kolkata Knight Riders,Lucknow Super Giants,Angkrish Raghuvanshi,1,1-15,20,15,20.33,-0.33,20,133.33,135.55,-2.22,1-15
2026,2026,1527688,2026-04-09,"Eden Gardens, Kolkata",1,Kolkata Knight Riders,Lucknow Super Giants,Angkrish Raghuvanshi,2,16-30,23,15,20.9,2.1,23,153.33,139.35,13.98,16-30
2026,2026,1527688,2026-04-09,"Eden Gardens, Kolkata",1,Kolkata Knight Riders,Lucknow Super Giants,Angkrish Raghuvanshi,3,31-45,2,3,4.29,-2.29,2,66.67,142.87,-76.21,31-45
